NO! NO! NO! Common misconceptions,remaining text,word count,Google hits,lot of noise (i.e. myth busting) in search result,Google search,category,Source Name,source,source,source,source,source
Caffeine dehydrates you,Not really. The diuretic effect of caffeine is offset by the amount of water in the caffeinated drinks.,18,"29,400",,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22caffeine+dehydrates%22+body&oq=%22caffeine+dehydrates%22+body&gs_l=hp.12..0i30j0i8i30.3250.4225.33.5373.5.5.0.0.0.0.403.874.3j0j1j0j1.5.0.les%3B..0.0...1c.1.-OkNRzM328M&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"Journal of Human Nutrition and Dietetics, Exercise and Sports Science Review",http://onlinelibrary.wiley.com/doi/10.1046/j.1365-277X.2003.00477.x/abstract;jsessionid=FEF7ACBFCA00771BBF41FD39B24DFAE4.d02t04,http://www.ncbi.nlm.nih.gov/pubmed/17620932,,,
Catching warts from toads,Warts are unique to humans. Toads don't have them.,9,"121,000",warts from toads,,disease,Burke Museum,http://www.burkemuseum.org/blog/frog-myths,,,,
Chastity Belts,Not used to prevent a wife's adultery in medieval times. Instead invented by 19th century prudes to prevent 'dangerous' masturbation. ,20,"35,100",,"https://www.google.co.uk/webhp?hl=en&tab=ww#hl=en&tbo=d&sclient=psy-ab&q=%22chastity+belts%22+adultery&oq=%22chastity+belts%22+adultery&gs_l=hp.3...37251.48753.1.49260.28.25.3.0.0.3.290.2576.17j6j2.25.0.les%3B..0.0...1c.1.npNNHKNoV1Q&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,BBC,http://news.bbc.co.uk/dna/place-lancashire/plain/A2430118,,,,
Chemical Imbalance,Simplistic. Thank pharma for the idea that major depression is caused by an imbalance of neurotransmitters likeserotonin. ,17,"1,580,000",,https://www.google.it/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=Chemical+Imbalance,mind,Society,http://link.springer.com/article/10.1007/s12115-007-9047-3,,,,
Chewing gum takes 7 years to digest,"It is indigestible, but passes straight through.",7,"46,300","y,  ""chewing gum"" ""7 years to digest""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22chewing+gum%22+%227+years+to+digest%22&oq=%22chewing+gum%22+%227+years+to+digest%22&gs_l=serp.12..0i7j0i30j0i7i30j0i7i5i30l2.14512.17742.0.19883.2.2.0.0.0.0.94.177.2.2.0.les%3B..0.0...1c.1.nh3-RCFDzgM,health,Scientific American,http://www.scientificamerican.com/article.cfm?id=fact-or-fiction-chewing-gum-takes-seven-years-to-digest,,,,
Cooking removes alcohol,Partly true. But studies show not all burns off.,9,"16,300",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22cooking+alcohol%22+burns+off&oq=%22cooking+alcohol%22+burns+off&gs_l=serp.12..0i30j0i8i30l3.1354.13801.33.15555.25.21.4.0.0.0.1057.4835.4j12j2j0j1j0j1j1.21.0.les%3B..0.0...1c.1.xnRSOiTOFaM&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Cooking,NY Times,http://dinersjournal.blogs.nytimes.com/2008/02/19/six-kitchen-myths-that-deserve-debunking/,,,,
Different parts of the tongue taste different tastes,"There is no 'map', and there are 5 primary tastes: bitter, sour, salty, sweet and umami (savoury/meaty).",17,"268,000",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=tongue%20taste%20buds%20map&oq=&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700&pf=p&pdl=300",science,"Nature, Geoffrey Campbell-Platt ""Food Science and Technology""",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1571047/?tool=pmcentrez,http://books.google.co.uk/books?id=E7GXHploJasC&lpg=PA31&pg=PA31&hl=en,,,
Dogs sweat by salivating,They regulate temperature through panting but sweat through footpads.,9,"1,280,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&sugexp=les%3B&gs_rn=1&gs_ri=serp&tok=JMsZcZZ3e4AlhU50k5bkMw&pq=%22dogs%22%20sweat%20salivating&cp=21&gs_id=2ht&xhr=t&q=%22dogs%22+sweat+drooling&pf=p&tbo=d&sclient=psy-ab&oq=%22dogs%22+sweat+drooling&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Nature,BMJ (Disproved in 1899!),http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2462491/?page=6,,,,
Don't touch baby birds!,Birds have a limited sense of smell. Probably more harmful to leave them to the cats but it's all relative.,20,"154,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22baby+birds%22+don%27t+touch&oq=%22baby+birds%22+don%27t+touch&gs_l=serp.3..0i8i30l2.9722.14331.61.15357.15.14.1.0.0.0.249.1609.6j7j1.14.0.les%3B..0.0...1c.1.Er-iYvxlQRw&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",nature,"Knox News, Snopes, Scientific American",http://www.knoxnews.com/news/2008/jun/16/fine-feathered-infirmary-for-sick-songbirds/,http://www.snopes.com/critters/wild/babybird.asp,http://www.scientificamerican.com/article/fact-or-fiction-birds-abandon-young-at-human-touch/,,
Drink 8 glasses of water a day!,"Not necessary for everyone; subjective and dependant on individual weight, environment, what you're wearing and more.",16,"2,420,00",,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=drink+%228+glasses+of+water+a+day%22&oq=drink+%228+glasses+of+water+a+day%22&gs_l=hp.12..0l2j0i30l2.10170005.10172757.29.10174894.2.2.0.0.0.0.269.487.2-2.2.0.les%3B..0.0...1c.1.ZGZc4muG12E&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"NPR, Die Zeit",http://www.npr.org/2008/04/03/89323934/five-myths-about-drinking-water,http://www.zeit.de/2009/04/Stimmts,,,
Dropping a penny from a tall building could kill someone,Terminal velocity is 30-50mph which isn't fast enough. It would hurt though.,12,"1,870,000",drop penny kill someone,,physics,ABC,http://www.gantless.com/paper.html,http://abcnews.go.com/2020/story?id=3131332&page=1,,,
Eating before swimming is dangerous,Doesn't increase risk of cramps; alcohol is the biggest increase in risk.,12,"7,460,000","y,,, ""eating before swimming"" cramps or dangerous","https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22eating+before+swimming%22+cramps+or+dangerous&oq=%22eating+before+swimming%22+cramps+or+dangerous&gs_l=hp.3...3948.6772.4.7231.13.13.0.0.0.1.205.1719.6j6j1.13.0.les%3B..0.0...1c.1.-6oN_YW5Nk0&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,NY Times,http://www.nytimes.com/2005/06/28/health/28real.html,,,,
Edison invented the lightbulb,"He made the first practical lightbulb, but it was obsolete within a year. England's Joseph Swan patented a design before him.",21,"1,510,000",edison invented light bulb,,technology - inventions,Smithsonian Institution,http://americanhistory.si.edu/lighting/bios/swan.htm,,,,
Einstein failed maths,"Nope. He failed an entrance exam for a school, two years early, and still excelled in maths.",17,"2,130,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Einstein%22+failed+math&oq=%22Einstein%22+failed+math&gs_l=serp.3..0l4.9082935.9091368.25.9091868.24.23.1.0.0.1.1096.3651.16j4j1j0j1j7-1.23.0.les%3B..0.0...1c.1.KpiB1acbiU4&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,TIME,"http://content.time.com/time/specials/packages/article/0,28804,1936731_1936743_1936758,00.html",,,,
Elementary My Dear Watson,Not in the original stories. First used in the 1929 film.,11,"329,000","""elementary my dear watson""",,literature,"Agnieszka Jasnowska: Elementary, My Dear Watson: The Case of Masculinity in the Sherlock Holmes Stories",http://leeds.academia.edu/AgnieszkaJasnowska/Papers/133195/Elementary_My_Dear_Watson_The_Case_of_Masculinity_in_the_Sherlock_Holmes_Stories,http://www.snopes.com/quotes/signature/elementary.asp,,,
Evolution is always creating more complex organisms,"Not always a simple to complex progression: sometimes a smaller genome will be evolved, but 'devolution' is a misnomer.",19,"10,200","evolution ""towards complexity""",,science/nature,"Scientific American, Cell",http://www.scientificamerican.com/article.cfm?id=is-the-human-race-evolvin,http://www.cell.com/retrieve/pii/S0092867402006657#,,,
"Evolution is just a ""theory""","In science, the word theory  means something more than a conjecture ",11,"899,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Evolution+is+just+a+theory%22&oq=%22Evolution+is+just+a+theory%22&gs_l=serp.3..0l4.34392.42360.96.42874.27.26.0.0.0.0.755.3436.14j10j1j6-1.26.0.les%3B..0.0...1c.1.NY149jH24eo&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science/nature,"University of Montana, American Institute of Biological Sciences, University of California - Berkeley",http://evoled.dbs.umt.edu/lessons/miscon.htm#3,https://www.msu.edu/~pennock5/research/papers/Pennock_TeachingEvoNatureSci.pdf,http://evolution.berkeley.edu/evolibrary/misconceptions_faq.php#a1,,
Flushed water rotates the otherway in the Southern Hemisphere,"The Coriolis effect,  induced by the Earth's rotation, does not affect the small amounts of water in toilets, bathtubs.",19,"1,850,000",flushed water southern hemisphere,,physics,The Library of Congress,https://www.loc.gov/rr/scitech/mysteries/coriolis.html,,,,
George Washington smoked cannabis,He grew hemp to make rope and clothes but there's no evidence to suggest he smoked a fatty most nights.,20,"1,460,000",,"https://www.google.com/search?q=salt+make+water+boil&oq=salt+make+water+boil&sourceid=chrome&ie=UTF-8#hl=en&tbo=d&sclient=psy-ab&q=george+washington+cannabis&oq=george+washington+cannabis&gs_l=serp.3..0l3j0i30.23130.27504.0.27612.32.26.3.2.2.0.182.3208.8j18.26.0.les%3B..0.0...1c.1.IHT7UdEqGPM&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1023&bih=1215",drugs,"The Straight Dope, George Washington Diaries",http://www.straightdope.com/columns/read/2912/did-george-washington-and-thomas-jefferson-grow-marijuana,http://memory.loc.gov/cgi-bin/query/r?ammem/mgw:@field%28DOCID+@lit%28mgw1b651%29%29,,,
Get “Closure”,"No evidence this mythical emotional end state is ever achieved by victims of trauma, bereavement or loss.",17,"33,400,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=get+closure,mind,The International Journal of Transitional Justice,http://ijtj.oxfordjournals.org/content/5/1/1,,,,
Glass is a liquid,"Has both solid and liquid properties. ""This is why stained glass windows are thicker at the bottom"" Not true though. Bad manufacturing process is the cause.",26,"1,060,000","y,   ""glass is a liquid""","https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22glass+is+a+liquid%22&oq=%22glass+is+a+liquid%22&gs_l=serp.3..0l4.72739.80203.102.80725.29.27.1.0.0.6.459.3304.16j9j1j0j1.27.0.les%3B..0.0...1c.1.kC81u6H4Fa0&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science,"NY Times, American Journal of Physics",http://www.nytimes.com/2008/07/29/science/29glass.html?_r=1,http://www.df.unipi.it/~leporini/DFWebSite/ReviewsTg/CathedralGlasses.pdf,,,
Goldfish memory span,"While not the smartest in the animal kingdom, Goldfish do boast a better memory than most politicans.",17,"38,700","y, ""goldfish"" ""short memory""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22goldfish%22+%22short+memory%22&oq=%22goldfish%22+%22short+memory%22&gs_l=serp.3..0i30j0i8i30l7.6815.9246.0.10194.2.2.0.0.0.0.175.269.1j1.2.0.les%3B..0.0...1c.1.HYJJlWCMYsk,nature,"ABC, The Times",http://www.abc.net.au/news/2008-02-19/goldfish-three-second-memory-myth-busted/1046710,http://www.thetimes.co.uk/tto/news/uk/article1912026.ece,,,
Great Wall of China visible from Space,Myth. ,1,"1,110,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Great+Wall+of+China%22+from+space&oq=%22Great+Wall+of+China%22+from+space&gs_l=serp.3..0l4.93434.106145.44.106709.47.39.8.0.0.1.590.7485.0j25j12j1j0j1.39.0.les%3B..0.0...1c.1.zmf5Qov5-rc&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=656",Science,NASA,http://www.nasa.gov/vision/space/workinginspace/great_wall.html,,,,
Hair & fingernails grow after death,"The skin dries and shrinks away, giving the appearance of growth",11,"9,850",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22hair+and+fingernails+grow+after+death%22&oq=%22hair+and+fingernails+grow+after+death%22&gs_l=hp.3..0i30j0i5i30l3.43631.55488.20.56010.43.41.2.0.0.0.208.4404.23j17j1.41.0.les%3B..0.0...1c.1.RkGjOKqXBMs&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"Graham-Brown, Robin; Tony Burns (2007). Lecture Notes on Dermatology. Blackwell. p.6","http://books.google.co.uk/books?id=HW9HmKhslfYC&printsec=frontcover&dq=Graham-Brown,+Robin;+Tony+Burns+(2007).+Lecture+Notes+on+Dermatology.+Blackwell.&hl=en&sa=X&ei=LPYDUPuLNMOx0AWE38W5Bw&ved=0CD4Q6AEwAQ#v=onepage&q=Graham-Brown%2C%20Robin%3B%20Tony%20Burns%20(2007).%20Lecture%20Notes%20on%20Dermatology.%20Blackwell.&f=false",,,,
"Hair products can ""repair"" your hair",Nothing can fix split ends or damaged hair. They can prevent damage and make hair look better though.,18,"1,800,000",,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=hair+products+%22repair+damaged+hair%22&oq=hair+products+%22repair+damaged+hair%22&gs_l=hp.3..0i30j0i7i30l2j0i8i30.10053.13806.25.14279.2.2.0.0.0.0.122.225.0j2.2.0.les%3B..0.0...1c.1.thEoO8Pq3kI&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"CBC, Glamour",http://www.cbc.ca/streetcents/features/front_question_of_the_week.html,http://www.glamour.com/beauty/2008/09/hair-myths,,,
Hard-wired,The brain is actually incredibly fluid & plastic. So virtually no psychological capacities are ‘hard-wired’ from birth.,17,"23,400,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=hard+wired,mind,Cold Spring Harbour Laboratory,https://www.dnalc.org/view/1084-Is-the-Brain-Hardwired-.html,,,,
Henry Ford invented the car,"He just improved the design, mostly by supporting the work of his employees.",13,"2,870,000",,,technology - inventions,My Forty Years with Ford' by Charles E. Sorensen,http://books.google.co.uk/books?id=fv9WPvAXpGMC&pg=PA128&redir_esc=y#v=onepage&q&f=false,http://lccn.loc.gov/83016269,,,
Houseflies live for 24 hours,Average lifespan is actually about a month. Maggots hatch within 24 hours.,12,"55,600",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22horse+flies%22+live+%2224+hours%22&oq=%22horse+flies%22+live+%2224+hours%22&gs_l=serp.3...12553.13073.86.14348.4.4.0.0.0.0.81.303.4.4.0.les%3B..0.0...1c.1.guToI31Jc-0&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",nature,"Forest Preserve District of Cook County, North Carolina Pest Management Program",http://www.newton.dep.anl.gov/natbltn/400-499/nb453.htm,http://ipm.ncsu.edu/ag369/notes/house_fly.html,,,
Human brains are special because they’re huge,"There might be other reasons why human brains are unique, but focusing on size ignores important possibilities.",17,"34,500,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=human+brain+large,science,Nature,http://www.nature.com/news/the-science-myths-that-will-not-die-1.19022#/b1,,,,
